year,location,type,total,0-14,15-20,21-30,31-40,41-50,51-60,61-64,65-70,71-
2011,sungbukgu,injured,2103,107,209,393,350,408,353,100,112,71
2011,gangbukgu,died,7,0,1,1,1,0,2,0,0,2
2011,gangbukgu,injured,1648,83,208,303,249,326,285,65,74,55
2011,dobonggu,died,15,0,2,4,2,0,1,2,1,3
2011,dobonggu,injured,1279,81,148,198,201,238,230,66,50,67
2011,nowongu,died,14,1,1,1,0,3,4,0,1,3
2011,nowongu,injured,2231,163,261,334,372,449,391,95,101,65
2011,enpyunggu,died,20,0,1,1,1,2,1,0,4,10
2011,enpyunggu,injured,2058,157,242,311,347,365,377,73,97,89
2011,sudaemungu,died,14,0,0,1,3,2,3,1,1,3
2011,sudaemungu,injured,1496,56,91,309,269,282,282,68,73,66
2011,mapogu,died,23,1,3,4,1,3,3,3,2,3
2011,mapogu,injured,2530,84,201,624,535,487,385,71,86,57
2011,yangchungu,died,14,0,3,2,1,2,1,1,1,3
2011,yangchungu,injured,2006,123,214,335,350,432,341,90,70,51
2011,gangsugu,died,16,0,0,5,2,4,2,0,1,2
2011,gangsugu,injured,2740,129,247,473,503,564,504,142,90,88
2011,gulogu,died,15,0,0,1,3,1,2,2,1,5
2011,gulogu,injured,2226,99,197,416,446,434,390,95,84,65
2011,gemchungu,died,10,0,1,1,0,3,3,0,2,0
2011,gemchungu,injured,1649,67,259,279,286,333,273,53,58,41
2011,yeongdeungpogu,died,28,0,3,4,2,3,9,3,0,4
2011,yeongdeungpogu,injured,3326,125,218,622,731,674,603,142,134,77
2011,dongjakgu,died,13,0,2,3,0,4,0,0,1,3
2011,dongjakgu,injured,1676,82,144,361,347,287,264,78,52,61
2011,gwanakgu,died,17,0,2,4,2,1,0,2,1,5
2011,gwanakgu,injured,2396,98,201,535,461,431,399,101,99,71
2011,suchogu,died,17,0,1,4,3,5,0,0,0,4
2011,suchogu,injured,3189,109,144,682,731,664,571,115,102,71
2011,gangnamgu,died,36,0,3,8,5,10,6,2,1,1
2011,gangnamgu,injured,5184,121,260,"1,453","1,314",943,731,166,124,72
2011,songpagu,died,36,0,0,5,3,8,7,1,5,7
2011,songpagu,injured,3632,178,360,718,714,713,624,142,108,75
2011,gangdonggu,died,13,0,1,1,2,0,1,1,3,4
2011,gangdonggu,injured,2080,138,191,325,387,425,402,55,79,78
2012,jongnogu,died,12,0,0,2,0,1,3,2,3,1
2012,jongnogu,injured,1994,81,105,445,370,384,364,96,88,61
2012,junggu,died,12,0,0,0,2,1,3,1,3,2
2012,junggu,injured,2018,44,89,419,448,429,365,81,83,60
2012,yongsangu,died,11,0,0,2,2,1,4,0,0,2
2012,yongsangu,injured,1809,46,100,396,428,338,310,70,71,50
2012,sungdonggu,died,6,0,0,0,2,2,2,0,0,0
2012,sungdonggu,injured,1400,41,102,268,335,242,254,47,56,55
2012,gwangjingu,died,17,0,2,1,0,2,4,1,1,6
2012,gwangjingu,injured,2190,78,148,542,422,412,362,83,79,64
2012,dongdaemungu,died,20,0,1,1,3,1,7,2,0,5
2012,dongdaemungu,injured,2511,71,193,450,444,476,504,120,132,121
2012,junglanggu,died,11,0,0,1,1,1,3,0,3,2
2012,junglanggu,injured,2401,106,234,400,388,460,488,102,112,111
2012,sungbukgu,died,11,0,0,0,1,1,3,0,0,6
2012,sungbukgu,injured,2055,121,196,394,368,374,340,77,99,86
2012,gangbukgu,died,9,0,1,0,0,1,1,0,5,1
2012,gangbukgu,injured,1680,76,171,311,292,312,298,82,72,66
